A,B,C,D,E,F,G,H,Gender
3.412162162,3.487394958,0.7300884956,1.762882947,1.319771352,1.589861751,1.6367713,1.607142857,M
4.087837838,4.243697479,0.7300884956,2.898884363,2.032616005,1.843317972,2.284504235,2.5,F
3.986486486,3.949579832,0.7300884956,2.365857978,1.851042367,2.350230415,1.736422521,3.035714286,M
4.087837838,4.159663866,0.7743362832,3.180449796,2.737054472,2.580645161,2.25959143,3.214285714,F
4.256756757,4.159663866,0.8849557522,3.023729414,2.125084062,2.705727452,2.433981066,2.142857143,F
2.635135135,2.521008403,0.4646017699,0.8455817248,0.7599193006,0.8130348914,0.615346288,1.25,M
3.141891892,3.529411765,0.685840708,2.151584912,1.780430397,2.021066491,1.686596911,2.678571429,F
2.533783784,2.521008403,0.4646017699,0.9217283513,0.7935440484,0.7636603028,0.7149975087,1.25,F
3.378378378,3.277310924,0.5973451327,1.560120418,1.277740417,1.33640553,1.287992028,1.785714286,F
1.891891892,1.974789916,0.3982300885,0.5764122543,0.4472091459,0.5628703094,0.4409566517,1.428571429,M
2.533783784,2.352941176,0.4646017699,0.7490703028,0.623739072,0.5957867018,0.5655206776,1.428571429,F
3.209459459,3.109243697,0.5973451327,1.504338587,1.213853396,1.287030941,1.337817638,2.321428571,F
1.114864865,1.008403361,0.1991150442,0.120417921,0.1025554808,0.1514154049,0.09217737917,0.7142857143,I
0.8783783784,0.7983193277,0.2433628319,0.07083407119,0.08238063215,0.09545753785,0.05231689088,0.7142857143,I
0.9121621622,0.7983193277,0.2212389381,0.07083407119,0.05548083389,0.07899934167,0.06726457399,0.5357142857,I
2.128378378,2.016806723,0.4203539823,0.3559412077,0.2908540686,0.292955892,0.3662182362,1.071428571,I
2.668918919,2.647058824,0.5309734513,1.022666903,0.9818426362,1.491112574,0.6900847035,1.428571429,M
2.601351351,2.68907563,0.5309734513,0.811935541,0.5934767989,0.7208689928,0.7399103139,1.071428571,F
1.689189189,1.596638655,0.3097345133,0.281565433,0.2505043712,0.1645819618,0.2167414051,0.8928571429,I
3.040540541,3.109243697,0.7079646018,1.476004958,1.188634835,1.402238315,1.213253612,1.428571429,F
3.006756757,2.983193277,0.5309734513,1.050115105,0.7985877606,0.7274522712,0.9392127554,1.25,I
2.195945946,2.226890756,0.4203539823,0.5330263857,0.4455279085,0.3917050691,0.4907822621,1.071428571,M
2.77027027,2.56302521,0.5752212389,0.9553745352,0.869199731,0.6287030941,0.7897359243,1.607142857,M
2.668918919,2.56302521,0.5309734513,0.8420400213,0.7044384667,0.6912442396,0.7399103139,1.607142857,F
2.22972973,2.142857143,0.4424778761,0.6782362316,0.5783456624,0.599078341,0.5406078724,1.071428571,M
2.871621622,2.899159664,0.6194690265,1.167876749,0.8591123067,1.152073733,1.088689586,1.25,F
2.5,2.478991597,0.5309734513,0.780060209,0.6422326833,0.6254114549,0.6651718984,1.25,M
2.668918919,2.773109244,0.5973451327,1.040375421,0.9263618023,0.7867017775,0.8395615346,1.25,M
1.148648649,1.134453782,0.2654867257,0.1487515495,0.137861466,0.08887425938,0.1170901844,0.5357142857,I
2.905405405,2.899159664,0.5530973451,1.028864884,0.8238063215,0.8525345622,0.8644743398,1.071428571,F
2.533783784,2.43697479,0.4646017699,0.7251638038,0.6018829859,0.7373271889,0.6651718984,1.071428571,M
2.905405405,2.941176471,0.4867256637,1.103240659,1.022192334,1.050032916,0.8644743398,1.428571429,M
3.074324324,2.983193277,0.5752212389,1.229856561,1.012104909,1.270572745,0.9890383657,1.607142857,F
2.364864865,2.268907563,0.4203539823,0.6667256951,0.5699394755,0.5233706386,0.4907822621,1.071428571,M
3.006756757,2.899159664,0.5309734513,1.023552329,0.7834566241,0.8624094799,0.9142999502,1.25,M
2.702702703,2.521008403,0.5309734513,0.8464671507,0.7834566241,0.6649111257,0.6651718984,1.25,M
3.310810811,3.235294118,0.7079646018,1.616787675,1.186953598,1.270572745,1.58694569,1.964285714,F
3.513513514,3.697478992,0.8185840708,2.272002833,1.395427034,1.471362739,2.409068261,2.142857143,F
2.702702703,2.81512605,0.5309734513,0.9358951656,0.7145258911,0.7570770244,0.8395615346,1.607142857,F
1.587837838,1.512605042,0.3097345133,0.2638569152,0.2084734364,0.2633311389,0.2167414051,0.8928571429,I
3.243243243,3.109243697,0.5752212389,1.353816186,0.8843308675,1.102699144,1.362730443,2.142857143,M
2.195945946,2.226890756,0.4867256637,0.6215689747,0.469065232,0.6451612903,0.4907822621,1.25,F
3.513513514,3.529411765,0.7522123894,2.204710466,1.61062542,1.477946017,2.110114599,3.392857143,F
3.344594595,3.571428571,0.7743362832,2.094917655,1.590450572,1.714944042,1.885899352,1.785714286,M
3.581081081,3.319327731,0.8628318584,1.940853551,1.613987895,1.902567479,1.562032885,2.142857143,F
3.547297297,3.529411765,0.6637168142,1.780591464,1.484532616,1.451612903,1.387643249,2.5,F
3.513513514,3.529411765,0.6194690265,1.668142376,1.215534633,1.240947992,1.562032885,1.428571429,M
3.547297297,3.487394958,0.6637168142,1.629183637,1.217215871,1.273864384,1.512207275,1.607142857,F
3.243243243,3.109243697,0.6194690265,1.391889499,0.9448554136,1.046741277,1.412556054,1.785714286,F
3.648648649,3.529411765,0.7522123894,1.948822384,1.575319435,1.547070441,1.711509716,2.321428571,F
3.378378378,3.277310924,0.6194690265,1.662829821,1.289509079,1.655694536,1.412556054,1.428571429,F
3.682432432,3.823529412,0.7743362832,2.856383921,1.713180901,1.260697828,3.355754858,1.964285714,M
3.006756757,3.109243697,0.7300884956,1.746945281,1.328177539,1.477946017,1.58694569,2.678571429,F
3.513513514,3.529411765,0.7079646018,2.329555516,1.368527236,1.537195523,2.88241156,3.571428571,M
3.412162162,3.319327731,0.6194690265,1.790331149,1.274377942,1.418696511,1.786248132,2.321428571,M
3.344594595,3.445378151,0.796460177,2.289711351,1.136516476,1.461487821,2.184853014,1.964285714,F
3.716216216,3.445378151,0.6194690265,2.112626173,1.619031607,1.346280448,1.985550573,2.142857143,M
3.277027027,3.235294118,0.7079646018,1.52735966,1.10793544,1.362738644,1.287992028,1.607142857,M
2.601351351,2.521008403,0.5752212389,0.9119886665,0.7380632145,0.7472021066,0.8146487294,1.428571429,F
3.378378378,3.319327731,0.7079646018,1.727465911,1.050773369,1.517445688,1.6367713,1.964285714,F
3.310810811,3.109243697,0.5973451327,1.433504516,1.143241426,1.099407505,1.263079223,2.5,M
3.243243243,3.235294118,0.6637168142,1.33345139,1.028917283,1.000658328,1.287992028,1.964285714,M
3.513513514,3.445378151,0.7743362832,1.970958031,1.34667115,1.668861093,1.935724963,2.142857143,M
3.716216216,3.697478992,0.7300884956,2.231273242,1.701412239,2.090190915,1.935724963,1.607142857,F
4.189189189,4.243697479,0.8407079646,2.642110855,1.973772697,2.251481238,2.409068261,2.5,M
3.986486486,4.033613445,0.8628318584,2.840446255,1.931741762,2.551020408,2.384155456,2.321428571,M
3.108108108,3.193277311,0.6637168142,1.280325837,0.9011432414,0.9084924292,1.238166418,1.428571429,M
2.668918919,2.68907563,0.5752212389,0.9226137772,0.7162071284,0.8657011192,0.7149975087,1.25,M
2.668918919,2.647058824,0.5752212389,0.9217283513,0.6724949563,0.8722843976,0.8146487294,1.071428571,M
2.702702703,2.68907563,0.5530973451,1.020896051,0.9297242771,0.5562870309,0.7648231191,1.607142857,F
1.925675676,1.764705882,0.4203539823,0.4064104834,0.3496973773,0.2995391705,0.3662182362,1.071428571,I
3.209459459,3.193277311,0.6415929204,1.489286347,1.099529254,1.257406188,1.263079223,2.5,M
3.074324324,3.193277311,0.7079646018,1.560120418,1.059179556,1.07636603,1.661684106,2.5,M
3.074324324,3.025210084,0.6194690265,1.278554985,1.040685945,1.099407505,1.013951171,1.607142857,M
3.581081081,3.487394958,0.7079646018,2.07455286,1.669468729,1.579986833,1.711509716,1.964285714,M
3.006756757,2.983193277,0.685840708,1.28386754,0.9751176866,1.204739961,1.163428002,1.964285714,F
3.175675676,3.151260504,0.7300884956,1.416681424,0.9835238736,1.201448321,1.387643249,1.785714286,F
2.871621622,2.899159664,0.5530973451,1.178501859,0.8742434432,0.8624094799,1.088689586,1.607142857,F
2.939189189,2.81512605,0.5973451327,1.118292899,0.7733691997,1.175115207,0.9890383657,1.428571429,F
2.432432432,2.857142857,0.4646017699,0.6401629184,0.4539340955,0.6418696511,0.6402590932,1.428571429,F
2.837837838,2.857142857,0.5530973451,0.9553745352,0.7952252858,0.8821593153,0.7648231191,1.428571429,M
2.635135135,2.56302521,0.4646017699,0.7596954135,0.5749831876,0.7011191573,0.8644743398,1.428571429,M
2.432432432,2.226890756,0.3539823009,0.5852665132,0.4959650303,0.4147465438,0.5156950673,1.428571429,I
2.364864865,2.478991597,0.4646017699,0.6924030459,0.4337592468,0.4114549045,0.8146487294,1.428571429,M
3.175675676,2.983193277,0.5530973451,1.224544006,0.9969737727,0.9578670178,1.038863976,1.785714286,F
3.074324324,3.025210084,0.5088495575,1.043917124,0.7800941493,1.040157999,0.889387145,1.785714286,F
2.804054054,2.68907563,0.5973451327,1.081105012,0.8557498319,0.668202765,1.088689586,1.785714286,F
2.466216216,2.394957983,0.4646017699,0.7083407119,0.4354404842,0.6254114549,0.8146487294,1.607142857,M
3.277027027,3.151260504,0.6637168142,1.559234992,1.161735037,1.129032258,1.53712008,1.428571429,F
2.22972973,2.100840336,0.3761061947,0.4577651851,0.3816408877,0.3884134299,0.4160438465,1.25,M
2.668918919,2.605042017,0.4646017699,0.7411014698,0.5447209146,0.6780776827,0.6900847035,1.428571429,F
2.094594595,2.016806723,0.3761061947,0.4453692226,0.3429724277,0.3752468729,0.4160438465,1.071428571,I
2.972972973,3.109243697,0.6194690265,1.35293076,1.018829859,1.132323897,1.263079223,2.321428571,F
1.993243243,1.764705882,0.3318584071,0.3754205773,0.2992602555,0.3324555629,0.341305431,0.8928571429,M
1.925675676,1.890756303,0.3539823009,0.3072427838,0.2689979825,0.3291639236,0.341305431,0.8928571429,I
1.317567568,1.176470588,0.2654867257,0.1257304764,0.09246805649,0.1514154049,0.1420029895,0.7142857143,I
2.027027027,1.848739496,0.3982300885,0.41792102,0.3581035642,0.3554970375,0.341305431,0.8928571429,I
2.094594595,1.974789916,0.3761061947,0.4400566673,0.3732347007,0.3982883476,0.3911310414,1.25,I
4.222972973,4.033613445,0.7079646018,3.052063042,2.114996638,1.731402238,2.683109118,3.214285714,M
4.290540541,4.075630252,0.7300884956,3.465556933,2.573974445,1.714944042,3.878923767,3.035714286,M
3.513513514,3.571428571,0.7300884956,2.231273242,1.622394082,1.859776169,2.035376183,2.857142857,M
2.466216216,2.478991597,0.5530973451,0.7109969896,0.585070612,0.4114549045,0.6352765321,1.428571429,F
1.689189189,1.722689076,0.3982300885,0.3355764123,0.2824478816,0.2337063858,0.3014449427,1.071428571,F
1.858108108,1.722689076,0.4203539823,0.370108022,0.2858103564,0.3653719552,0.3313403089,1.071428571,I
1.283783784,1.218487395,0.2876106195,0.169116345,0.1311365165,0.1316655695,0.1320378675,1.071428571,I
2.364864865,2.31092437,0.5088495575,0.715424119,0.546402152,0.5299539171,0.6676631789,1.25,F
1.554054054,1.470588235,0.3539823009,0.2727111741,0.223604573,0.2238314681,0.2316890882,1.071428571,F
1.824324324,1.680672269,0.3982300885,0.3515140783,0.3127101547,0.1909150757,0.3064275037,1.428571429,M
2.22972973,2.268907563,0.4867256637,0.6259961041,0.5043712172,0.4114549045,0.5754857997,1.428571429,F
2.027027027,1.932773109,0.4203539823,0.4444837967,0.3194351042,0.3752468729,0.4534130543,1.428571429,M
3.310810811,3.277310924,0.685840708,1.459181866,1.143241426,1.349572087,1.225710015,1.607142857,F
3.209459459,3.319327731,0.6415929204,1.308659465,0.9885675857,0.9414088216,1.320378675,1.607142857,F
3.885135135,3.907563025,0.8407079646,2.377368514,1.741761937,2.011191573,2.217239661,2.678571429,M
3.277027027,3.361344538,0.685840708,1.407827165,1.139878951,1.247531271,1.20079721,1.785714286,M
2.702702703,2.68907563,0.5752212389,0.9128740924,0.6943510424,0.7636603028,0.8395615346,1.607142857,M
2.804054054,2.731092437,0.5530973451,0.9686559235,0.8204438467,0.7044107966,0.8594917788,1.607142857,F
2.601351351,2.478991597,0.5309734513,0.908446963,0.7498318763,0.7077024358,0.7722969606,1.607142857,M
1.385135135,1.260504202,0.3539823009,0.2213564725,0.1714862139,0.2534562212,0.201793722,1.428571429,I
0.6756756757,0.6302521008,0.2433628319,0.0522401275,0.03194351042,0.03949967084,0.0548081714,0.7142857143,I
0.6418918919,0.6302521008,0.4203539823,0.04958384983,0.04034969738,0.04937458855,0.04235176881,0.5357142857,I
3.47972973,3.529411765,0.6415929204,1.86116522,1.481170141,1.721527321,1.611858495,2.5,M
3.581081081,3.739495798,0.8185840708,1.977156012,1.573638198,1.698485846,1.661684106,1.428571429,F
3.783783784,3.865546218,0.8407079646,2.425181512,1.699731002,2.004608295,2.234678625,1.607142857,F
3.581081081,3.613445378,0.7079646018,1.867363202,1.240753194,1.547070441,1.761335326,1.607142857,F
3.310810811,3.319327731,0.5973451327,1.746945281,1.297915266,0.9809084924,1.53712008,1.964285714,F
2.972972973,2.941176471,0.5752212389,1.275013281,1.072629455,0.8591178407,1.038863976,1.607142857,M
3.378378378,3.403361345,0.8407079646,1.756684965,1.31472764,1.59315339,1.686596911,2.142857143,F
3.851351351,3.613445378,0.9513274336,2.677527891,1.832548756,1.718235681,3.156452417,2.678571429,M
3.412162162,3.361344538,0.7522123894,1.603506287,1.254203093,1.402238315,1.412556054,2.142857143,F
3.378378378,3.403361345,0.7300884956,1.986895697,1.000336247,1.171823568,2.184853014,2.142857143,F
3.581081081,3.445378151,0.7300884956,1.866477776,1.413920646,1.626069783,1.686596911,2.142857143,M
3.581081081,3.613445378,0.7079646018,2.160439171,1.778749159,1.691902567,1.387643249,2.142857143,F
3.614864865,3.613445378,0.7743362832,2.200283336,1.825823806,1.951942067,1.711509716,1.964285714,M
4.391891892,4.243697479,0.9292035398,3.787851957,2.182246133,2.616853193,5,3.035714286,F
3.885135135,4.117647059,1.017699115,3.098990614,1.88130464,1.902567479,4.053313403,2.678571429,F
4.391891892,4.327731092,0.8407079646,4.512130335,3.596166779,3.176431863,3.60488291,2.321428571,M
4.391891892,4.369747899,0.7743362832,3.757747477,2.568930733,2.969058591,4.227703039,3.392857143,F
4.087837838,4.327731092,0.907079646,3.258367275,2.098184264,2.682685978,3.231190832,3.392857143,F
4.256756757,4.243697479,0.9734513274,3.504515672,2.745460659,2.02764977,3.779272546,2.321428571,M
4.087837838,3.865546218,0.7743362832,2.862581902,1.719905851,2.689269256,3.081714001,1.964285714,F
4.189189189,4.159663866,0.9513274336,3.461129803,2.392400807,3.558262014,2.93223717,2.321428571,M
3.074324324,2.857142857,0.6415929204,1.368868426,1.032279758,1.109282423,1.263079223,1.071428571,F
3.040540541,3.193277311,0.685840708,1.882415442,1.630800269,1.530612245,1.412556054,1.25,M
3.006756757,2.941176471,0.5088495575,1.370639277,1.072629455,1.211323239,1.088689586,1.25,F
1.081081081,0.8823529412,0.1769911504,0.08145918187,0.05884330868,0.1152073733,0.06726457399,0.7142857143,I
1.925675676,1.722689076,0.3982300885,0.3125553391,0.2135171486,0.2402896643,0.3662182362,1.071428571,I
1.621621622,1.302521008,0.2654867257,0.2178147689,0.1983860121,0.2435813035,0.1669157947,0.7142857143,I
1.621621622,1.596638655,0.3761061947,0.2505755268,0.1748486886,0.3094140882,0.2416542103,1.25,I
1.013513514,0.8823529412,0.1991150442,0.0788029042,0.08069939475,0.09545753785,0.06726457399,0.5357142857,I
3.412162162,3.529411765,0.6637168142,1.714184523,1.291190316,1.42198815,1.736422521,1.785714286,M
3.344594595,3.571428571,0.796460177,1.660173543,1.338264963,1.313364055,1.462381664,2.321428571,M
3.817567568,3.823529412,0.7743362832,2.418983531,1.728312038,1.747860434,2.832585949,3.571428571,M
3.277027027,3.319327731,0.7079646018,1.808925093,1.439139206,1.761026991,1.487294469,1.607142857,F
3.682432432,3.529411765,0.7743362832,1.796529131,1.460995293,1.405529954,1.611858495,1.607142857,F
3.851351351,3.823529412,0.8849557522,2.772268461,2.084734364,2.41277156,2.284504235,1.964285714,F
3.682432432,3.655462185,0.8407079646,2.153355764,1.830867518,1.948650428,1.761335326,2.142857143,M
3.75,3.571428571,0.6637168142,1.860279795,1.31472764,2.208689928,1.412556054,1.964285714,F
3.75,3.739495798,0.8185840708,2.445546308,1.812373907,2.179065174,1.885899352,1.607142857,F
3.75,3.571428571,0.7079646018,2.11970958,1.766980498,2.202106649,1.562032885,1.785714286,F
3.445945946,3.403361345,0.7522123894,1.647777581,1.22394082,1.780776827,1.437468859,1.428571429,F
3.648648649,3.571428571,0.796460177,2.049760935,1.625756557,1.42198815,1.611858495,2.142857143,M
3.614864865,3.613445378,0.7522123894,1.807154241,1.405514459,1.579986833,1.786248132,1.964285714,M
3.412162162,3.319327731,0.6637168142,1.638037896,0.9246805649,1.191573404,1.786248132,2.321428571,M
1.891891892,1.848739496,0.3761061947,0.386045688,0.3059852051,0.3917050691,0.7399103139,1.25,I
2.939189189,2.899159664,0.6194690265,1.438817071,1.54001345,1.290322581,0.9641255605,1.607142857,F
2.871621622,2.941176471,0.685840708,1.36355587,1.1600538,1.007241606,1.213253612,1.964285714,M
2.905405405,2.983193277,0.6637168142,1.136886843,0.9549428379,0.9512837393,1.038863976,1.785714286,F
3.817567568,3.739495798,0.8185840708,2.304763591,1.491257566,1.731402238,2.30941704,2.678571429,M
3.277027027,3.319327731,0.7079646018,1.629183637,1.449226631,1.168531929,1.287992028,2.5,M
3.445945946,3.403361345,0.8185840708,1.629183637,1.218897108,1.398946675,1.412556054,1.607142857,M
2.533783784,2.43697479,0.5309734513,0.7340180627,0.5531271015,0.6221198157,0.6651718984,1.428571429,F
2.871621622,2.899159664,0.7300884956,1.457411015,0.8507061197,1.346280448,1.412556054,2.142857143,M
2.871621622,2.899159664,0.6415929204,1.112094918,0.7834566241,0.961158657,1.138515197,1.964285714,F
3.074324324,3.193277311,0.7522123894,1.440587923,1.000336247,1.017116524,1.362730443,2.142857143,F
2.331081081,2.352941176,0.5088495575,0.6499026032,0.5716207128,0.4641211323,0.5904334828,1.25,M
2.466216216,2.394957983,0.6194690265,0.8500088543,0.6220578346,0.710994075,0.7897359243,1.428571429,F
2.195945946,2.058823529,0.4867256637,0.554276607,0.3631472764,0.4377880184,0.5904334828,1.428571429,I
2.432432432,2.394957983,0.4867256637,0.6684965468,0.499327505,0.5562870309,0.5904334828,1.25,I
3.040540541,3.025210084,0.7522123894,1.470692403,0.9229993275,1.105990783,1.53712008,2.142857143,F
1.993243243,1.890756303,0.4203539823,0.466619444,0.4068594486,0.3390388413,0.3911310414,1.071428571,I
2.804054054,2.605042017,0.6415929204,1.120063751,0.6674512441,1.066491113,1.088689586,1.607142857,F
1.756756757,1.638655462,0.3982300885,0.3169824686,0.2505043712,0.2699144174,0.2914798206,1.071428571,M
2.297297297,2.268907563,0.4646017699,0.6693819727,0.5329522529,0.5134957209,0.5904334828,1.964285714,F
2.871621622,2.941176471,0.6194690265,1.086417567,0.8069939475,0.8887425938,1.013951171,1.428571429,M
2.77027027,2.857142857,0.7079646018,1.165220471,0.8288500336,0.8393680053,1.163428002,2.321428571,F
3.209459459,2.941176471,0.6194690265,1.41756685,0.8170813719,1.073074391,1.263079223,1.607142857,M
2.533783784,2.478991597,0.5752212389,0.8110501151,0.5817081372,0.7274522712,0.6651718984,1.25,M
2.22972973,2.058823529,0.5309734513,0.5702142731,0.4219905851,0.4575378539,0.5406078724,1.071428571,I
2.668918919,2.56302521,0.5973451327,0.8836550381,0.5564895763,0.7537853851,0.8146487294,1.607142857,M
2.297297297,2.100840336,0.5752212389,0.5631308659,0.4354404842,0.4937458855,0.5156950673,1.25,F
2.5,2.268907563,0.5530973451,0.8021958562,0.5968392737,0.7373271889,0.6900847035,1.428571429,F
2.668918919,2.478991597,0.6415929204,0.9128740924,0.6254203093,0.8097432521,0.889387145,1.785714286,F
2.804054054,2.68907563,0.6637168142,1.015583496,0.7363819771,0.9447004608,0.9392127554,1.428571429,F
2.5,2.521008403,0.6637168142,0.8553214096,0.6052454607,0.8196181698,0.7648231191,1.785714286,F
2.364864865,2.731092437,0.4646017699,0.5746414025,0.4287155346,0.5134957209,0.4907822621,1.607142857,I
2.871621622,2.647058824,0.5973451327,0.7933415973,0.5733019502,0.6912442396,0.7648231191,1.428571429,F
2.128378378,1.974789916,0.5530973451,0.5374535151,0.4034969738,0.5365371955,0.4409566517,1.071428571,F
1.959459459,1.806722689,0.3761061947,0.3594829113,0.2589105582,0.3159973667,0.341305431,1.071428571,I
3.412162162,3.445378151,0.7300884956,1.947051532,1.355077337,1.375905201,1.736422521,1.785714286,F
3.074324324,3.025210084,0.7079646018,1.38303524,0.9835238736,1.036866359,1.213253612,2.5,F
3.243243243,3.277310924,0.5973451327,1.476890384,1.126429052,1.066491113,1.362730443,2.142857143,M
3.310810811,3.235294118,0.7743362832,1.594652028,1.039004707,1.267281106,1.611858495,2.321428571,M
3.716216216,3.781512605,0.9513274336,2.556224544,1.664425017,1.886109282,2.159940209,3.75,M
1.351351351,1.344537815,0.3318584071,0.200991677,0.1597175521,0.1876234365,0.1669157947,1.071428571,I
2.466216216,2.478991597,0.5973451327,0.7667788206,0.606926698,0.543120474,0.615346288,1.964285714,I
1.486486486,1.428571429,0.3539823009,0.2160439171,0.1597175521,0.2073732719,0.1918285999,1.428571429,I
0,-1.08E-17,0.04424778761,0,0,0,0,0,I
0.3716216216,0.3781512605,0.1327433628,0.01947936958,0.01176866174,0.01645819618,0.01245640259,0.3571428571,I
0.2364864865,0.2941176471,0.1327433628,0.01062511068,0.005043712172,0.009874917709,0.007473841555,0.3571428571,I
0.5743243243,0.5462184874,0.1548672566,0.03364618381,0.02185608608,0.02633311389,0.01743896363,0.7142857143,I
3.310810811,3.109243697,0.7079646018,1.665486099,1.171822461,1.435154707,1.362730443,2.857142857,M
1.317567568,1.218487395,0.3097345133,0.1735434744,0.1109616678,0.1579986833,0.1669157947,0.7142857143,I
1.047297297,1.008403361,0.2876106195,0.1106782362,0.08406186954,0.06583278473,0.09217737917,0.7142857143,I
1.52027027,1.470588235,0.3539823009,0.2222418984,0.1429051782,0.1711652403,0.1918285999,1.25,I
1.722972973,1.680672269,0.3761061947,0.289534266,0.2084734364,0.2534562212,0.2914798206,1.25,I
1.858108108,1.722689076,0.3761061947,0.3045865061,0.2336919973,0.2238314681,0.2914798206,1.607142857,I
1.655405405,1.596638655,0.3539823009,0.2771383035,0.2101546738,0.2106649111,0.2416542103,2.142857143,I
1.925675676,1.848739496,0.3761061947,0.3462015229,0.2471418964,0.2699144174,0.341305431,1.428571429,I
1.554054054,1.596638655,0.3318584071,0.2727111741,0.223604573,0.2468729427,0.2167414051,1.071428571,I
1.824324324,1.806722689,0.4867256637,0.3745351514,0.2723604573,0.3554970375,0.341305431,1.071428571,I
1.722972973,1.638655462,0.4646017699,0.3001593767,0.2168796234,0.2271231073,0.2914798206,1.071428571,I
3.47972973,3.487394958,0.796460177,1.986010271,1.410558171,1.843317972,1.786248132,2.142857143,M
3.513513514,3.361344538,0.685840708,1.874446609,1.723268325,1.42198815,1.487294469,1.964285714,F
3.378378378,3.403361345,0.8185840708,1.933770143,1.504707465,1.425279789,1.711509716,2.5,F
3.547297297,3.697478992,0.7300884956,2.194970781,1.627437794,1.823568137,1.686596911,2.5,M
3.277027027,3.319327731,0.7743362832,1.786789446,1.286146604,1.356155365,1.836073742,2.5,M
3.277027027,3.319327731,0.8185840708,1.891269701,1.27605918,1.148782093,2.035376183,3.214285714,M
3.175675676,3.403361345,0.7079646018,1.585797769,1.143241426,1.086240948,1.711509716,1.607142857,M
3.783783784,3.781512605,0.7522123894,2.502213565,2.030934768,1.951942067,1.811160937,2.5,F
3.47972973,3.529411765,0.7079646018,1.947051532,1.602219233,1.678736011,1.462381664,2.142857143,F
3.141891892,3.529411765,0.685840708,1.639808748,1.321452589,1.273864384,1.287992028,1.785714286,F
3.344594595,3.235294118,0.5530973451,1.528245086,1.232347007,1.132323897,1.337817638,1.964285714,F
3.074324324,3.067226891,0.7300884956,1.580485213,1.06926698,1.570111916,1.213253612,1.785714286,M
1.148648649,1.176470588,0.2654867257,0.1646892155,0.146267653,0.1579986833,0.1220727454,0.5357142857,I
1.317567568,1.218487395,0.3539823009,0.2098459359,0.1529926026,0.181040158,0.1918285999,0.8928571429,M
2.601351351,2.731092437,0.5752212389,1.128032584,1.00537996,1.000658328,0.7897359243,1.785714286,F
3.006756757,3.319327731,0.6637168142,1.581370639,1.212172159,1.221198157,1.163428002,2.321428571,M
