A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
0.5372338486,-3.42E-15,13.43084621,10.03055966,10.03055966,9.22811489,6.775796139,5.543833205,6.923646167,11.71568718,0.366362687,0.09752074321,0,0,0,4.12E-17,0.1680842583,0.04255013443,1,0
0.5372338486,0.5372338486,37.6063694,27.68434467,26.07945512,25.27701035,19.40341622,15.39953668,3.252412946,2.610506311,0.5253257228,0.241837905,0.01043989138,0.0004818102491,-1.18E-19,3.99E-17,0.1628176292,0.02729500772,0.00E+00,1
0.5372338486,0.5372338486,25.78722473,17.25256262,15.64767307,12.83911637,8.315749807,5.543833205,7.087728538,5.658454702,2.018880693,0.1589260831,0.001148252515,-2.81E-19,-6.89E-35,3.74E-17,0.1528114604,0.04213272832,1,1
0.5372338486,0.5372338486,50.49998176,37.31368195,36.91245956,35.7087924,26.48720309,23.71528649,2.652053385,1.663980067,0.3369273273,0.05550886179,0,0,0,4.04E-17,0.1649141046,0.03793368386,0,0
0.5372338486,0.5372338486,10.74467697,7.222002958,6.419558184,6.018335798,4.003879537,2.771916602,20.05440514,27.81934758,7.378264448,0.565663814,0.005201723446,0.000294467485,9.82E-05,0.0002979731161,0.1735001787,0.02740133964,1,0
0.5372338486,0.5372338486,56.4095541,38.11612672,32.49901331,26.48067751,14.16757375,9.855703475,37.89933281,59.26796944,31.41811739,16.74399306,1.484552655,0.6139251495,0.2355077253,0.305359376,0.1597906732,0.04090183733,1,1
0.5372338486,0.5372338486,13.43084621,10.03055966,9.629337277,9.22811489,6.775796139,5.851823938,5.246332635,8.378976814,0.8963074996,0.4071761246,0.04696520451,0.0307917812,0.01897272178,0.03964261148,0.1681817546,0.03303540801,0,0
0.5372338486,0.5372338486,34.38296631,25.67823274,25.27701035,23.27089842,16.93949035,12.31962934,6.05924307,5.093483752,0.7620171219,0.06727494324,0,0,0,4.11E-17,0.1679319203,0.03003831031,0,0
0.5372338486,-6.18E-15,24.71275703,16.45011785,15.64767307,12.83911637,7.083786873,4.619861004,35.58333273,17.8828582,8.117623675,1.912031068,0.03307071657,0.01867403758,0.01189295238,0.02184465897,0.1646688405,0.03197544024,1,1
0.5372338486,0.5372338486,19.8776524,14.8452283,14.8452283,13.64156114,9.547712741,7.083786873,18.89757655,29.53354639,6.814439871,1.011892243,0.01792095179,0.001081487811,-2.65E-19,3.57E-17,0.1456927059,0.03375596672,0,0
0.5372338486,0.5372338486,10.20744312,6.820780571,6.018335798,4.814668638,3.695888803,2.155935135,55.34715385,29.12395071,10.93376598,0.8777589146,0.002309456379,0.0005020906555,0.000200796103,3.51E-17,0.1433272016,0.02864380832,1,1
0.5372338486,-5.00E-15,19.8776524,13.64156114,12.43789398,12.0366716,8.623740541,7.391777606,2.715934359,2.655173749,1.596456533,1.280518349,0.1298016288,0.01664910928,-4.08E-18,4.02E-17,0.1639836242,0.02994050932,0.00E+00,1
0.5372338486,0.5372338486,5.372338486,4.012223865,3.611001479,3.611001479,2.771916602,1.847944402,22.46451795,17.03634701,8.224679899,0.7695109652,0.004097646074,-1.00E-18,-2.46E-34,3.95E-17,0.1611519656,0.03295253614,1,0
0.5372338486,0.5372338486,2.686169243,2.006111933,2.006111933,2.006111933,1.231962934,0.9239722008,40.97947114,5.787203012,2.282976732,0.1426862032,0.001801141044,0.001165420582,0.000317860231,0.0003214331671,0.1793405127,0.03343758031,1,1
0.5372338486,0.5372338486,21.48935394,15.24645069,13.24033876,10.03055966,6.159814672,3.695888803,22.50879408,19.41802865,10.99644703,4.566501035,0.3860593222,0.2036858601,0.05206321677,0.03264603209,0.1605983693,0.03203028192,1,1
0.5372338486,0.5372338486,29.54786167,21.26478649,20.46234171,18.85745217,12.01163861,8.007759073,21.97122798,33.11484513,17.73526317,3.32265238,0.06392374058,0.003298276788,-8.08E-19,4.04E-17,0.1647593292,0.03574732897,0,0
0.5372338486,0.5372338486,53.18615101,39.31979388,27.28312228,21.26478649,12.93561081,8.315749807,91.80233906,42.21819012,28.29713027,9.229092576,0.6148819429,0.1755919753,0.03598707917,0.05523227242,0.1695463984,0.03577535916,1,1
0.5372338486,0.5372338486,24.17552318,18.05500739,18.05500739,17.25256262,11.39565714,7.391777606,10.83311576,12.95120888,4.372322059,1.252964219,0.03729034628,0.00171630469,-4.20E-19,4.05E-17,0.1655472214,0.03598528092,0,0
0.5372338486,0.5372338486,55.3350864,35.7087924,33.30145808,28.48678944,18.47944402,11.70364788,3.395624017,3.159745481,0.01309469964,0.009165953818,0.0003130411246,0.0003130411246,0.0001565205623,0.000474989865,0.1488543287,0.04085430788,0.00E+00,1
0.5372338486,0.5372338486,6.446806183,4.814668638,4.413446252,4.413446252,3.079907336,2.463925869,9.641340384,1.697338294,0.260863516,0.00691015833,0,0,0,4.23E-17,0.1726869984,0.02945637918,1,0
0.5372338486,0.5372338486,22.56382164,15.24645069,15.24645069,14.8452283,10.77967568,9.855703475,3.848332821,3.717510652,0.4941241911,-1.21E-16,0,0,0,4.19E-17,0.1709479079,0.03034329098,0.00E+00,1
0.5372338486,0.5372338486,57.48402179,39.31979388,30.89412376,25.27701035,14.47556448,8.623740541,61.42229417,37.64212169,21.44511117,6.474259865,0.02434311395,0.001149256495,0.0003134427168,0.0006340307306,0.1496903596,0.04216807074,1,1
0.5372338486,0.5372338486,4.835104637,3.611001479,3.611001479,3.611001479,2.463925869,1.539953668,60.41924104,30.67893957,15.47911915,3.028448274,0.005958624356,-1.46E-18,-3.57E-34,3.89E-17,0.1588885276,0.03304729037,0,0
0.5372338486,0.5372338486,34.38296631,25.67823274,24.87578796,21.26478649,15.39953668,9.547712741,9.47869479,12.13667523,2.582353378,0.7828038658,0.01567354141,0.007222133834,-1.77E-18,3.52E-17,0.1436867192,0.03031038597,0.00E+00,1
0.5372338486,-4.08E-15,16.11701546,12.0366716,12.0366716,11.63544921,8.315749807,6.467805405,1.590251635,0.7111013151,0.002535460379,-6.21E-19,0,0,0,3.72E-17,0.1518060296,0.03816737034,0,0
0.5372338486,0.5372338486,1.074467697,0.8024447731,0.8024447731,0.8024447731,0.6159814672,0.3079907336,14.76205222,5.532489604,1.235039631,0.1667567,0.0002076231705,-5.09E-20,-1.25E-35,3.87E-17,0.1581862495,0.03497436599,1,1
0.5372338486,0.5372338486,38.6808371,27.28312228,26.8818999,24.87578796,16.63149961,11.70364788,7.80410944,8.810571127,2.851238154,0.2697640821,0.006172070614,0.0001543118051,-3.78E-20,3.66E-17,0.1493960426,0.03511908709,0.00E+00,1
0.5372338486,0.5372338486,23.10105549,16.85134023,16.85134023,15.64767307,11.39565714,8.315749807,12.07663821,15.3484157,3.308243339,0.4906296398,0.00182814812,0.0009140238608,0.0006094161726,0.001386885096,0.1434962967,0.03698522751,0,0
0.5372338486,-2.24E-15,8.595741577,6.419558184,6.419558184,5.215891025,3.079907336,2.463925869,14.02769113,18.89047233,4.055554119,1.404345229,0.04347476585,0.02649243544,0.003008327215,0.003239315102,0.1556364161,0.03769481789,0.00E+00,1
0.5372338486,0.5372338486,40.82977249,29.6904566,28.88801183,28.88801183,20.32738842,12.93561081,7.179760173,6.671327032,1.736462824,0.2298643844,0.01397510757,0.005966856997,-1.46E-18,3.98E-17,0.1624986334,0.02811458613,0.00E+00,1
0.5372338486,0.5372338486,2.686169243,2.006111933,2.006111933,2.006111933,1.231962934,0.6159814672,21.42149254,26.59306575,10.96578551,0.616695518,0,0,0,3.75E-17,0.153026257,0.03321425281,0,0
0.5372338486,0.5372338486,23.63828934,17.25256262,16.85134023,16.45011785,12.01163861,8.315749807,53.51560688,32.16191179,17.99841439,7.178880177,0.3147787136,0.1047151677,0.01720621807,0.0246662633,0.1584994564,0.03491708691,1,1
0.5372338486,0.5372338486,6.984040031,4.814668638,4.413446252,3.611001479,2.463925869,1.847944402,0.6550060491,0.283649066,-6.95E-17,-1.70E-32,0,0,0,3.68E-17,0.1502457839,0.04134879701,0,0
0.5372338486,0.5372338486,2.148935394,1.604889546,1.604889546,1.604889546,1.231962934,1.231962934,24.19484377,17.13444892,4.326152997,0.2908414087,0.003424979129,-8.39E-19,-2.05E-34,3.78E-17,0.1544116187,0.03496065557,1,0
0.5372338486,0.5372338486,19.8776524,14.04278353,13.64156114,12.0366716,8.623740541,6.775796139,6.465921426,9.55401027,0.8246133471,0.02173407723,0,0,0,3.88E-17,0.1584720356,0.03756807268,0.00E+00,1
0.5372338486,0.5372338486,34.38296631,24.87578796,24.07334319,23.27089842,15.70752741,13.24360154,12.97879327,17.46376567,6.397824847,0.5840066395,0.01380613765,-3.38E-18,-8.28E-34,3.63E-17,0.1480140323,0.02666189102,0.00E+00,1
0.5372338486,0.5372338486,3.76063694,2.808556706,2.808556706,2.808556706,2.155935135,1.231962934,11.46923182,14.65047459,2.42584098,0.06575820212,0.00345118302,0.0008628208546,0.000575180437,0.001163557597,0.1523139245,0.04538423047,0,0
0.5372338486,0.5372338486,22.56382164,16.85134023,14.8452283,14.44400592,10.77967568,8.007759073,24.4893981,49.31919496,2.344225862,0.3527968402,0.02178276284,0.01683916279,0.01452187536,4.17E-17,0.1701843899,0.05063257903,0.00E+00,1
0.5372338486,0.5372338486,8.058507728,6.018335798,5.617113411,4.814668638,3.079907336,2.771916602,21.6868358,33.73061011,9.373617177,1.34232681,0.03184204522,0.00116140466,0.0005807023299,0.0002937076522,0.1292353278,0.03671376121,1,0
0.5372338486,0.5372338486,11.81914467,8.826892504,8.024447731,7.623225344,4.927851737,4.003879537,2.361283953,1.838338109,0.1355392115,-3.32E-17,0,0,0,3.94E-17,0.1609661132,0.04869392572,0,0
0.5372338486,0.5372338486,17.728717,13.24033876,13.24033876,12.83911637,9.855703475,9.547712741,1.430713359,0.1961761028,0.002616084492,-6.41E-19,0,0,0,3.85E-17,0.157016903,0.03036553232,1,1
0.5372338486,0.5372338486,10.20744312,7.623225344,7.222002958,6.419558184,3.695888803,3.387898069,10.060517,11.49142953,3.63297543,0.3471313166,0.01079138496,0.004120336033,0.0003924559833,0.001190978436,0.1539125594,0.0318553979,0,0
0.5372338486,0.5372338486,6.446806183,4.814668638,4.814668638,4.814668638,3.079907336,2.155935135,18.67028678,21.34194086,3.735067392,0.3533956422,0.001187307357,-2.91E-19,-7.12E-35,3.79E-17,0.1545730969,0.03512883672,1,0
0.5372338486,0.5372338486,26.32445858,19.25867455,18.05500739,16.04889546,11.39565714,8.007759073,8.114937693,11.47785781,2.146965533,0.161641268,0,0,0,4.16E-17,0.1699376023,0.03452222683,0.00E+00,1
0.5372338486,0.5372338486,57.48402179,38.91857149,35.7087924,29.28923422,18.78743475,12.01163861,14.44423813,22.36086168,9.482315277,6.819333587,0.5279255841,0.3773956732,0.2178400778,0.4052796943,0.1559535838,0.0297110883,0.00E+00,1
0.5372338486,0.5372338486,11.81914467,7.623225344,7.623225344,6.018335798,3.695888803,2.771916602,21.61858536,20.97178884,3.698378382,0.599365533,0.03962369739,0.02083841877,0.009033415081,0.01214925969,0.1580256852,0.02990547158,1,1
0.5372338486,0.5372338486,8.058507728,6.018335798,5.617113411,5.617113411,3.387898069,2.771916602,36.970442,46.30952455,7.706547359,0.8574491967,0.0007721614141,0.0004826134335,0.0004826134335,0.001171479173,0.1567935755,0.02606868687,0,0
0.5372338486,0.5372338486,30.08509552,22.06723126,18.45622978,16.45011785,11.39565714,8.623740541,2.14385851,2.30729246,1.296808619,0.5302790667,0.02026092918,0.01611669841,0.01335384443,0.03586645728,0.1593062384,0.03120857078,1,1
0.5372338486,-1.05E-15,3.76063694,2.808556706,2.808556706,2.808556706,1.847944402,1.231962934,53.22856136,64.07072349,14.45541547,1.009228288,0.001218631549,-2.98E-19,-7.31E-35,3.82E-17,0.1560538222,0.04345471744,1,1
0.5372338486,0.5372338486,16.65424931,12.43789398,11.63544921,11.23422682,7.69976834,4.619861004,14.07875969,18.14411308,3.269555523,0.4829233183,0.0024011198,0.0001044139736,-2.56E-20,3.64E-17,0.1487486061,0.03358169205,0.00E+00,1
0.5372338486,0.5372338486,12.89361237,9.629337277,9.22811489,8.425670117,5.851823938,4.619861004,29.75170621,30.65488923,9.136435314,1.182048593,0.0005794975532,0.0003863317022,-9.46E-20,3.94E-17,0.1607126228,0.03224233641,0,0
0.5372338486,0.5372338486,9.670209274,7.222002958,7.222002958,6.820780571,4.619861004,2.771916602,22.36958473,21.11514523,8.44329722,1.532320891,0.02671391354,0.001959669567,-4.80E-19,4.13E-17,0.1685814895,0.02848354875,0.00E+00,1
0.5372338486,0.5372338486,7.52127388,5.617113411,5.617113411,5.617113411,3.695888803,2.771916602,38.72428876,40.86553083,14.08825998,1.423401074,0.0005973684064,0.0005973684064,0.0005973684064,0.001812822127,0.1678277211,0.03384127599,1,0
0.5372338486,0.5372338486,54.2606187,34.90634763,29.28923422,24.07334319,12.93561081,7.391777606,44.90498859,13.24325125,5.583113988,0.3129525716,0.00040550773,-9.93E-20,-2.43E-35,4.25E-17,0.1733527155,0.01969151377,0.00E+00,1
0.5372338486,0.5372338486,10.20744312,7.623225344,6.018335798,6.018335798,4.619861004,3.387898069,1.026290726,0.2544093878,0.04602377086,-1.13E-17,0,0,0,3.88E-17,0.1583440716,0.03617600809,1,1
0.5372338486,0.5372338486,32.77126476,24.07334319,23.27089842,22.86967603,16.63149961,12.93561081,9.864575764,10.74423633,3.072423688,0.2747484999,0.002368590831,0.002052838959,0.001421134419,0.001916716639,0.1754635107,0.03114794026,0,0
0.5372338486,0.5372338486,30.08509552,22.06723126,21.66600887,20.46234171,14.16757375,9.547712741,12.67509069,16.07435857,7.276826717,0.6884014282,0.0004649433765,-1.14E-19,-2.79E-35,3.64E-17,0.1484192513,0.03668481699,0.00E+00,1
0.5372338486,0.5372338486,27.39892628,20.06111933,19.25867455,16.85134023,11.39565714,6.775796139,34.07734243,45.85019806,10.32313407,1.257701726,0.01010044557,0.002789660259,0.0003848257314,0.001167823061,0.1616257367,0.03123538227,1,1
0.5372338486,0.5372338486,39.21807094,28.48678944,28.48678944,28.08556706,21.55935135,20.01939768,13.65745978,24.71184821,5.563812912,0.6815996085,0.005709938383,-1.40E-18,-3.43E-34,3.99E-17,0.1629312733,0.02435244703,0,0
0.5372338486,0.5372338486,35.457434,26.07945512,26.07945512,25.67823274,19.40341622,16.32350888,3.419758171,3.366909139,0.3335520324,0.1085679263,0.007662178494,0.005316578817,0.003596559399,0.005694394212,0.1654987779,0.02942103676,0.00E+00,1
0.5372338486,0.5372338486,9.132975425,6.419558184,6.419558184,6.419558184,3.695888803,3.079907336,16.78030133,12.42942474,2.690518184,0.1309654728,0.001467819513,0.0003914520028,-9.59E-20,3.90E-17,0.1592751615,0.02494351845,1,0
0.5372338486,0.5372338486,30.08509552,22.06723126,22.06723126,20.46234171,14.47556448,11.08766641,11.20199781,8.936707551,2.152590745,0.1330969728,0.001682872139,-4.12E-19,-1.01E-34,3.92E-17,0.1599820098,0.01764256775,0.00E+00,1
0.5372338486,0.5372338486,35.457434,24.87578796,24.47456558,24.47456558,17.55547181,13.55159228,13.11889456,17.19574508,2.337949779,0.9501551687,0.05000264716,0.02160606227,-5.29E-18,3.94E-17,0.1608542971,0.02622711838,0,0
0.5372338486,0.5372338486,37.6063694,25.67823274,24.47456558,21.66600887,15.70752741,10.47168494,8.954370749,7.962795144,3.768953875,1.004627675,0.01728804248,0.005201723446,0.0006119261239,0.0004643262054,0.1489941749,0.02785683024,0.00E+00,1
0.5372338486,0.5372338486,23.10105549,16.85134023,16.85134023,16.04889546,12.01163861,10.47168494,6.656499316,8.12058829,0.758738408,0.2307504098,0.01293538535,0.008259948493,0.006701469539,0.01797192249,0.1648854651,0.03026864536,0.00E+00,1
0.5372338486,0.5372338486,20.95212009,15.64767307,14.44400592,14.04278353,9.239722008,8.315749807,20.41667462,15.46157668,7.802591673,1.377840892,0.01190891567,0.001237305587,0.001082592189,0.0009387067184,0.1531438619,0.02909960359,0,0
0.5372338486,0.5372338486,13.43084621,9.629337277,9.629337277,8.826892504,6.467805405,4.619861004,15.78337198,19.75332922,4.993474579,0.4398330894,0,0,0,3.86E-17,0.1577267981,0.04545430594,0,0
0.5372338486,0.5372338486,10.20744312,7.222002958,6.820780571,5.617113411,4.003879537,2.463925869,14.47569445,23.75926844,10.4360641,1.344162688,0.008680214736,-2.13E-18,-5.21E-34,3.97E-17,0.1622427056,0.02634167655,1,0
0.5372338486,0.5372338486,18.26595085,13.64156114,11.23422682,8.826892504,5.235842471,2.771916602,24.67092291,29.89394626,6.312058427,0.7810234167,0.02609646553,0.02174712154,0.01855747544,0.001173307229,0.1571223209,0.02903805905,0.00E+00,1
0.5372338486,0.5372338486,51.03721561,33.30145808,32.49901331,29.28923422,19.09542548,12.93561081,12.37711119,14.57125888,8.552526096,2.787172218,0.133121692,0.04131901889,0.003417348877,0.001414305935,0.1458313335,0.02828337662,0.00E+00,1
0.5372338486,0.5372338486,9.132975425,6.820780571,6.820780571,6.820780571,5.235842471,3.079907336,6.988510555,5.810289223,0.9788632317,0.05241071229,0.00134945021,0.0005783931747,0.0005783931747,0.001462444741,0.152178953,0.02983661481,0,0
0.5372338486,0.5372338486,29.01062782,21.66600887,21.66600887,21.26478649,15.70752741,12.62762008,4.469663779,6.102434055,0.5021404115,0.01561084383,0,0,0,3.67E-17,0.1496510564,0.03539512353,0.00E+00,1
0.5372338486,0.5372338486,32.23403091,22.46845365,18.45622978,14.8452283,8.931731274,5.851823938,76.3197921,46.47964815,27.04233774,9.393312976,0.3656883568,0.1830012512,0.1136952714,0.09562956632,0.1490191584,0.0235103226,0.00E+00,1
0.5372338486,0.5372338486,18.26595085,13.24033876,10.83300444,8.425670117,4.927851737,2.771916602,4.088180296,3.606539959,1.26935023,0.3746048228,0.01935413398,0.01080945661,0.0003088244064,4.29E-17,0.1750543309,0.02624265686,0.00E+00,1
0.5372338486,0.5372338486,27.93616012,20.46234171,20.46234171,20.06111933,14.78355521,10.47168494,7.068996234,8.422967346,3.71498443,0.4309484801,0.005431132994,0.002327628426,-5.70E-19,3.71E-17,0.1514434652,0.03060866376,0,0
0.5372338486,0.5372338486,11.81914467,8.024447731,6.419558184,5.215891025,3.079907336,2.155935135,27.00914883,30.30471855,13.15592022,1.388260718,0,0,0,3.91E-17,0.1597422298,0.02645745343,1,1
0.5372338486,0.5372338486,18.8031847,14.04278353,13.64156114,12.0366716,8.315749807,6.467805405,6.228818456,8.962540021,0.7870450301,0.06998928837,0,0,0,3.94E-17,0.1610249157,0.03066045868,0.00E+00,1
0.5372338486,0.5372338486,5.909572334,4.413446252,3.611001479,3.611001479,2.463925869,1.539953668,4.292023039,5.758800649,1.795912189,0.8626578503,0.06782470687,0.04374122228,0.03344921722,0.01249323888,0.1595582055,0.03310700686,0.00E+00,1
0.5372338486,0.5372338486,8.058507728,5.617113411,5.617113411,5.617113411,4.003879537,2.463925869,7.688419497,0.9341672392,0.1698489707,-4.16E-17,0,0,0,3.87E-17,0.1579787651,0.02985611407,0.00E+00,1
0.5372338486,0.5372338486,18.8031847,13.64156114,13.24033876,12.43789398,7.083786873,4.31187027,19.88246439,27.54518277,10.34911435,3.944744675,0.2109495587,0.1077773083,0.03262715798,0.03865363322,0.1733490594,0.02735502889,1,0
0.5372338486,0.5372338486,42.44147404,29.6904566,27.68434467,25.67823274,17.55547181,11.39565714,9.773876497,3.293856974,0.9507909234,0.04350846651,0,0,0,3.66E-17,0.1493698404,0.0338894148,0.00E+00,1
0.5372338486,0.5372338486,33.84573246,24.87578796,24.87578796,23.27089842,16.32350888,12.93561081,13.0250698,16.7101914,8.869658524,2.293480542,0.04049956999,0.0085584319,-2.10E-18,3.50E-17,0.1428918196,0.02968214408,0.00E+00,1
0.5372338486,0.5372338486,5.909572334,4.413446252,4.413446252,4.413446252,3.079907336,2.771916602,24.26199868,38.37054963,14.46074086,0.4302824914,0.0008197500905,-2.01E-19,-4.92E-35,4.03E-17,0.1645868826,0.02518725924,1,0
0.5372338486,0.5372338486,24.17552318,16.04889546,13.64156114,12.0366716,5.851823938,3.695888803,37.97486446,32.77573507,17.2290504,6.210340191,0.4363792272,0.1509944527,0.1034649108,0.144551999,0.1608847647,0.03432723419,1,1
0.5372338486,0.5372338486,15.57978161,11.63544921,10.83300444,10.03055966,6.467805405,5.543833205,28.01942003,41.91712625,20.14586199,3.399246127,0.07544331261,0.01596108143,0.001487095939,0.002105920428,0.14839701,0.03519952155,0,0
0.5372338486,0.5372338486,31.15956322,22.86967603,22.46845365,22.46845365,16.63149961,13.24360154,16.2630041,26.4325549,4.754624805,0.2617344243,0.001729557233,-4.24E-19,-1.04E-34,3.67E-17,0.1496766491,0.02338022595,0.00E+00,1
0.5372338486,0.5372338486,12.89361237,9.629337277,8.826892504,8.826892504,5.851823938,4.619861004,27.44429938,50.79713489,17.59689455,1.39931714,0.007395420871,-1.81E-18,-4.44E-34,3.78E-17,0.1541505114,0.02560344663,1,0
0.5372338486,0.5372338486,26.32445858,19.25867455,19.25867455,18.85745217,13.85958301,12.01163861,9.499132439,11.20488892,3.123171528,0.3325047588,0.003627883591,-8.89E-19,-2.18E-34,3.84E-17,0.1568950326,0.03111412123,0,0
0.5372338486,0.5372338486,5.909572334,4.012223865,4.012223865,2.407334319,1.539953668,1.539953668,32.25526279,26.35555719,6.277882202,0.3140687117,0.002928309968,-7.17E-19,-1.76E-34,4.21E-17,0.171823242,0.03840258021,1,1
0.5372338486,0.5372338486,22.56382164,16.45011785,16.04889546,14.8452283,10.47168494,6.775796139,9.236537692,9.942849448,0.9342453438,-2.29E-16,0,0,0,3.82E-17,0.1559535838,0.04260528078,0.00E+00,1
0.5372338486,0.5372338486,22.02658779,16.45011785,15.64767307,14.8452283,11.08766641,8.623740541,3.041320717,0.9460038667,0.145539121,-3.56E-17,0,0,0,3.64E-17,0.1487388565,0.0414846825,0.00E+00,1
0.5372338486,0.5372338486,10.20744312,7.623225344,6.419558184,5.617113411,3.079907336,1.847944402,37.5282551,28.1765418,7.678037497,0.5970517889,0,0,0,3.95E-17,0.1612375795,0.03124299917,0.00E+00,1
0.5372338486,0.5372338486,6.984040031,5.215891025,5.215891025,4.814668638,3.695888803,2.463925869,22.02346752,27.66708979,5.360885379,0.4928333655,0.001363305141,0.0003895444398,0.0003895444398,0.001182142833,0.1487111309,0.03250740452,1,0
0.5372338486,0.5372338486,6.984040031,4.814668638,4.413446252,3.611001479,1.539953668,1.231962934,45.53039827,33.18771085,13.25650468,1.132997219,0.002698498828,-6.61E-19,-1.62E-34,3.99E-17,0.1627283591,0.04126044097,0.00E+00,1
0.5372338486,0.5372338486,22.56382164,16.85134023,16.45011785,16.04889546,12.01163861,9.855703475,4.490794715,4.735182636,0.6185952237,0.00390691013,0,0,0,3.70E-17,0.1511994197,0.03212655953,0,0
0.5372338486,0.5372338486,25.24999088,15.64767307,13.24033876,9.22811489,5.235842471,3.079907336,24.73416357,28.35238803,16.48205455,13.51663502,1.259069073,0.9219514918,0.5249224776,0.9404595194,0.1473321674,0.03014494691,1,1
0.5372338486,-2.63E-16,0.5372338486,0.4012223865,0.4012223865,0.4012223865,0.3079907336,0.3079907336,10.29905583,10.00998582,1.142764494,0.03700562791,0,0,0,4.06E-17,0.1658787088,0.04251204993,0,0
0.5372338486,0.5372338486,10.20744312,7.623225344,7.222002958,6.018335798,3.695888803,2.155935135,12.26893499,5.095708473,1.151539925,0.1569163591,0.002540271499,0.0003908496145,0.0003908496145,0.001186103621,0.1695262898,0.03409659447,1,1
0.5372338486,0.5372338486,25.24999088,18.85745217,18.05500739,16.85134023,12.01163861,8.315749807,3.858779866,3.396104306,0.2599640532,0.01784060445,0,0,0,4.01E-17,0.1637212982,0.03698431348,0.00E+00,1
0.5372338486,0.5372338486,19.34041855,14.44400592,14.04278353,13.24033876,8.315749807,5.851823938,15.31271009,20.55200176,10.50641536,1.076341983,0.007993793258,0.003756091903,0.0003852273236,0.001169041765,0.1458883079,0.0303963046,0,0
0.5372338486,0.5372338486,13.96808006,10.03055966,10.03055966,10.03055966,7.69976834,5.235842471,1.965071122,1.407865815,0.02060953882,-5.05E-18,0,0,0,4.10E-17,0.1674499229,0.02803719843,1,0
0.5372338486,0.5372338486,28.47339397,20.8635641,20.8635641,20.8635641,15.70752741,12.01163861,23.40220621,32.89349918,13.39960156,1.081541399,0.009380390747,-2.30E-18,-5.63E-34,4.14E-17,0.1688328472,0.03605748913,0,0
0.5372338486,0.5372338486,26.32445858,15.64767307,12.43789398,9.22811489,4.927851737,3.387898069,45.99110128,42.20271701,21.10992734,8.878423036,0.4914003714,0.2517953012,0.1409561536,0.1028979167,0.1504639319,0.02766732178,1,1
0.5372338486,0.5372338486,32.23403091,23.27089842,22.46845365,21.66600887,15.09154595,11.39565714,5.277084586,6.61734499,2.928223264,0.1062919748,0.000309928785,-7.59E-20,-1.86E-35,3.99E-17,0.1628819158,0.02633436433,0.00E+00,1
0.5372338486,0.5372338486,2.686169243,2.006111933,2.006111933,1.604889546,1.231962934,1.231962934,10.67243546,16.40340237,5.831021377,0.06450264953,0,0,0,4.13E-17,0.168575396,0.02215238172,0,0
0.5372338486,0.5372338486,22.02658779,16.45011785,16.04889546,16.04889546,11.70364788,10.77967568,1.875699294,0.700835178,0.02306185558,-5.65E-18,0,0,0,3.78E-17,0.1544344694,0.02788851654,1,0
