A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AI
0.7653799759,0.5133020808,0.01934880579,0.4920679468,0.03715657312,0.4224298375,0.07860917445,0.0367717134,0.1428004517,0.3892893357,0.07422814685,0.3799763986,0.07915226608,0.4357225585,0.06081730994,0.5439632123,0.1691445748,0.1341433615,0.2411149066,0.3151853311,0.1247335654,0.4353940361,0.1915750693,0.4135311928,0.2262055814,0.4401969767,0.2347297674,0.3071370755,0.1789517379,0.2875489812,0.1380988976,0.5354330709,0.1768856693,g
1.87E-16,0.7653799759,-0.7653799759,0,0,0,1.03E-16,0.4190031153,0.4190031153,0.6118881119,-0.6118881119,-0.4397945804,0.5540935673,-1.36E-16,-3.32E-32,-0.9318746892,0.9318746892,0.9318746892,0.5848896435,-0.5848896435,0.5848896435,0.846740638,0.4762916089,-0.846740638,0.9534883721,0.9534883721,0.9534883721,0.7071514183,-0.7071514183,0.7071514183,0.5354330709,0.5354330709,0.5354330709,b
0.7653799759,0.7653799759,-0.004684125452,0.7385524372,-0.07262924668,0.7385524372,-0.03204954829,0.4190031153,-0.04443528037,0.6118881119,-0.06775437063,0.6118881119,-0.2188060088,0.5540935673,-0.08652725146,0.8584802387,-0.2971189259,0.80582,-0.2019857895,0.5363028608,-0.2577725637,0.8133790569,-0.3968334674,0.69326043,-0.3849423256,0.7883537209,-0.4026676744,0.5359076308,-0.2703510587,0.568889173,-0.2172519685,0.3981159055,-0.2411537008,g
1.87E-16,0.7653799759,0.7653799759,0,0,0,-1.03E-16,-0.4190031153,-0.4190031153,0,0,0,-1.36E-16,-0.5540935673,-0.5540935673,-0.9318746892,-0.9318746892,-0.9318746892,0.5848896435,-0.5848896435,0.5848896435,0,0,0,2.34E-16,0.9534883721,-0.9534883721,-0.7071514183,0.7071514183,-0.7071514183,0.5354330709,-0.5354330709,0.5354330709,b
0.7653799759,0.7353081966,0.05425013269,0.7385524372,0.0317282127,0.7385524372,0.03902176012,0.377810919,-0.02155352025,0.5461896853,0.01578671329,0.5093968531,-0.0340324269,0.4850202632,0.0544729386,0.7132941621,0.00260924913,0.7008256788,-0.03096990662,0.3857990577,-0.04623552632,0.5432518585,-0.05020325243,0.471439785,-0.07346627907,0.5535095349,-0.0210244186,0.3511996804,-0.008846464243,0.3628393927,-8.03E-05,0.2789552756,-0.000974488189,g
-1.87E-16,-0.7653799759,0.7653799759,0,0,0,-1.03E-16,-0.4190031153,0.4190031153,0.6118881119,0.6118881119,-1.50E-16,0,0,0,0.9318746892,-0.9318746892,-0.9318746892,0.5848896435,0.5848896435,0.5848896435,0,2.07E-16,-0.846740638,-0.9534883721,0.9534883721,-0.9534883721,0.7071514183,0.7071514183,-0.7071514183,0.5354330709,-1.31E-16,-3.21E-32,b
0.7653799759,0.7653799759,-0.04731579011,0.7385524372,0.0217282127,0.7385524372,-0.02149904984,0.4190031153,-0.007152383178,0.6118881119,-0.07175,0.5170026224,-0.02882394737,0.5174790643,-0.03655909357,0.6445777225,-0.06876303332,0.612530552,-0.1191244737,0.5551187606,-0.1845794737,0.6846067406,-0.2680272816,0.7191537587,-0.3321762791,0.6915555814,-0.2781706977,0.5168852577,-0.2727907311,0.3843792249,-0.1407332283,0.3437855118,-0.2114264567,g
0.7653799759,0.7653799759,0.4425427021,0.7385524372,-0.7385524372,0.7385524372,-0.4190031153,0.4190031153,-0.4190031153,0.6118881119,-0.6118881119,0.6118881119,-0.5540935673,0.5540935673,-0.5540935673,0.9318746892,-0.9318746892,0.9318746892,-0.5848896435,0.5848896435,-0.3672873005,0.846740638,-0.846740638,0.846740638,-0.9534883721,0.9534883721,-0.9534883721,0.7071514183,-0.7071514183,0.7071514183,-0.5354330709,0.5354330709,-0.5354330709,b
0.7653799759,0.7653799759,-0.0666952111,0.7385524372,-0.1274963072,0.639844904,-0.3426565576,0.3972861838,0.255813972,0.5841879371,-0.2532115385,0.5414353147,-0.1758471345,0.4872532602,-0.1298407456,0.7552937544,-0.5794396818,0.1141080557,-0.5848896435,0.5280617657,0.06464785229,0.5280020596,-0.6650893689,0.469001172,-0.7901367442,0.4589711628,-0.8255588372,0.2874570515,-0.6341309628,0.2332468238,-0.4932837795,-0.07143212598,-0.5354330709,g
-1.87E-16,-0.7653799759,-0.7653799759,0,1.81E-16,-0.7385524372,0.4190031153,0.4190031153,-0.1571261682,0,0,0,0,0,0,0.9318746892,-0.9318746892,-0.9318746892,-0.5848896435,0.5848896435,-0.5848896435,0,-2.07E-16,0.846740638,-0.9534883721,-0.9534883721,0.9534883721,-0.7071514183,-0.7071514183,1.73E-16,-1.31E-16,-0.5354330709,0.5354330709,b
0.7653799759,0.7653799759,0.06413884198,0.7385524372,0.1284121123,0.7385524372,-0.05576093458,0.4113437383,0.27034081,0.6118881119,0.2931188811,0.6118881119,0.3275413304,0.5540935673,0.3920655263,0.9318746892,0.7713779115,0.9318746892,0.556224202,0.5848896435,0.5848896435,0.8301614563,0.846740638,0.7758176422,0.9534883721,0.7999672093,0.9534883721,0.5291048342,0.7071514183,0.4551085098,0.5354330709,0.2809899213,0.5354330709,g
-1.87E-16,-0.7653799759,-0.7653799759,0.7385524372,0.7385524372,0.7385524372,-0.4190031153,-0.4190031153,0.4190031153,0.6118881119,-0.6118881119,-0.6118881119,-0.5540935673,1.36E-16,3.32E-32,0.9318746892,0.9318746892,-0.9318746892,-0.5848896435,0.5848896435,-0.5848896435,0.846740638,-0.846740638,0.846740638,0.9534883721,0.9534883721,-0.9534883721,0.7071514183,-0.7071514183,-0.7071514183,0.5354330709,0.5354330709,-0.5354330709,b
0.7653799759,0.7653799759,-0.1089594934,0.7385524372,-0.1200590842,0.7385524372,-0.09911937695,0.4190031153,-0.03148389408,0.6118881119,-0.1530332168,0.6118881119,-0.1449564181,0.5540935673,-0.1217620614,0.9318746892,-0.3597595425,0.9318746892,-0.2699967572,0.5848896435,-0.2077469525,0.846740638,-0.505173932,0.846740638,-0.4542704651,0.9422372093,-0.4737597674,0.7071514183,-0.5361622054,0.7071514183,-0.4056494488,0.5354330709,-0.452103622,g
0.7653799759,0.7653799759,-0.7653799759,0.7385524372,0.7385524372,0.7385524372,-0.4190031153,0.4190031153,-0.4190031153,0.6118881119,-0.6118881119,0.6118881119,-0.01019532164,0.5540935673,-0.5540935673,0.9318746892,0.9318746892,0.9318746892,-0.5005661036,0.5848896435,0.5848896435,0.846740638,-0.846740638,2.07E-16,2.34E-16,0.9534883721,0.9534883721,0.7071514183,-0.559646704,0.7071514183,0.5354330709,0.5354330709,0.5354330709,b
0.7653799759,0.6751263691,-0.1120439747,0.6898670606,-0.08166174298,0.6802067947,-0.06892601246,0.370009081,-0.07138137072,0.5412884615,-0.1946354895,0.5217508741,-0.1743344591,0.4549994737,-0.1990525731,0.751845818,-0.3134080955,0.7011704724,-0.2750268081,0.4126688879,-0.2757930136,0.560118932,-0.4240900485,0.5190266089,-0.4584944186,0.5416195349,-0.5208811628,0.3548415102,-0.4232584099,0.3328915302,-0.3072154331,0.2258938583,-0.3110116535,g
0.7653799759,0.5453561942,-0.01986161037,0.3049261448,-0.1703618907,0.7239217134,-0.03969216511,0.4177838162,-0.04288915888,0.6118881119,-0.06700786713,0.3607998252,0.5540935673,0.4639203801,-0.5540935673,0.7666533068,-0.1664607757,0.752581999,-0.1652722666,-0.1515683022,0.5423681664,0.4397378155,0.04619816921,0.554555846,-0.1944353488,0.8879265116,-0.3938574419,0.4512403915,-0.1548732321,0.6091119457,-0.4677222047,-0.1241455118,-0.5354330709,b
0.7653799759,0.7653799759,-0.1216877624,0.5340768095,0.2044756278,0.6162703102,-0.2446475389,0.4190031153,-0.1181882087,0.6118881119,-0.3051057692,0.489277972,-0.06941130117,0.4257488743,0.08110821637,0.9318746892,0.3665715465,0.9318746892,0.1555221562,0.5635645671,-0.01106026316,0.7840733634,-0.7733959639,0.846740638,0.1411448837,0.9534883721,-0.1104330233,0.7071514183,-0.07869888134,0.7071514183,0.2857713386,0.5354330709,-0.3092554331,g
0.7653799759,0.5063830458,-0.7653799759,0.7385524372,0.7385524372,0.7385524372,-0.2820770872,0.33894419,-0.16947,0.6118881119,-0.6118881119,0.6118881119,-0.4952211257,0.5540935673,0.4066658918,0.1639074391,0.6614632919,0.9318746892,0.4564244822,0.5848896435,0.4987237012,0.846740638,-0.846740638,0.846740638,0.8138690698,0.9534883721,-0.08172348837,0.6787380743,-0.2563423891,0.7071514183,0.3494664567,0.5354330709,0.1859666142,b
0.7653799759,0.7653799759,0.003314095296,0.7385524372,-0.008929098966,0.7385524372,-0.01240249221,0.4190031153,-0.0293888785,0.5986652098,-0.03827972028,0.6118881119,-0.03625988304,0.5389169444,-0.04386758772,0.8625525311,-0.1273406763,0.8776768573,-0.08379713922,0.582485747,-0.0833350764,0.8028371359,-0.1148603675,0.7575703814,-0.1988118605,0.8492434884,-0.1707602326,0.6056327607,-0.1311907311,0.5924302437,-0.1076274016,0.4490516535,-0.1111880315,g
1.87E-16,0.7653799759,0.7653799759,0.7385524372,-0.7385524372,1.81E-16,0,0,0,-0.6118881119,-0.6118881119,1.50E-16,0,0,0,-0.9318746892,0.9318746892,0.9318746892,0.5848896435,-0.5848896435,0.5848896435,-0.846740638,0.846740638,0.846740638,-0.9534883721,0.9534883721,0.9534883721,-0.7071514183,0.7071514183,0.7071514183,0.5354330709,-1.31E-16,-3.21E-32,b
0.7653799759,0.6983403438,0.03327106755,0.6956499261,0.01683899557,0.6994460857,0.02239571651,0.3921114953,0.005535031153,0.5623924825,0.03884265734,0.5676241259,0.06686247076,0.5100320468,0.03441475146,0.82842728,0.118553098,0.7803891397,0.08445221562,0.47366118,0.06930357385,0.6523374549,0.1204234535,0.6414483703,0.1077346512,0.7012906977,0.1266423256,0.4694566121,0.108194167,0.5015471434,0.05758047244,0.3494129134,0.06129102362,g
0.7653799759,0.7653799759,0.01883600121,0.7361299852,0.03590103397,0.7204209749,0.02992939252,0.2587134735,-0.4190031153,0.5570384615,0.06820716783,0.5412884615,0.2972157895,0.4547833772,0.0783322076,0.7168818797,0.1415424465,0.9318746892,0.2398223005,0.3851498302,0.09575228353,0.5092128849,0.1398476838,0.4610164078,0.1562767442,0.4659411628,0.1527393023,0.3074765082,0.1091558929,0.2712067119,0.07858551181,0.5354330709,0.5354330709,b
0.7653799759,0.7653799759,0.05004054282,0.7385524372,0.1532200886,0.7385524372,0.1101182087,0.3898865888,0.1349734735,0.5309536713,0.238875,0.4618164336,0.2775011404,0.4408091374,0.2899072953,0.6146086325,0.5661697862,0.5369368772,0.3684746265,0.2796181919,0.3926656621,0.3433787309,0.5828962552,0.291143301,0.6872934884,0.2642306977,0.690192093,0.1364519377,0.4998287655,0.08041725929,0.3891955906,0.03742677165,0.3825348031,g
0.7653799759,-0.7653799759,-0.7653799759,0.7385524372,0.7385524372,0.7385524372,-0.06023169782,1.48E-17,3.61E-33,-0.6118881119,0.6118881119,0.6118881119,0.5540935673,0.09927694444,-0.5540935673,-0.9318746892,-0.9318746892,0.08153903531,-0.5848896435,0.5848896435,-0.5848896435,-0.846740638,0.846740638,-0.846740638,-0.9534883721,0.9534883721,-0.9534883721,-0.7071514183,-0.7071514183,0.7071514183,0.5354330709,-1.31E-16,-3.21E-32,b
0.7653799759,0.6959753197,0.06728455368,0.6390546529,0.1247267356,0.7385524372,0.06954613707,0.2312352492,0.2855673832,0.4295882867,0.2246791958,0.0996520979,0.2368140497,0.3192687135,0.2553595614,0.4758804475,0.4623775833,0.2948358329,0.07584264007,0.2212286587,0.3185425976,0.2648096671,0.4727014286,0.210465853,0.5389783721,0.1775967442,0.539722093,0.0893485817,0.3967190172,0.04898437875,0.2948148031,0.06498551181,0.3626970079,g
0.7653799759,-0.4920321713,-0.7653799759,0.7385524372,0.6119423929,0.7385524372,-0.4190031153,0.4190031153,-0.09801739875,0.6118881119,0.5883977273,0.6118881119,-0.2087769152,0.5540935673,-0.5540935673,0.9318746892,0.1289621382,0.9318746892,-0.5848896435,0.5848896435,-0.0198453056,-0.7136838141,0.846740638,0.4551230929,0.8172730233,0.9534883721,0.9534883721,0.7071514183,-0.7071514183,0.7071514183,-0.5354330709,0.5354330709,-0.5354330709,b
0.7653799759,0.7579175211,-0.0442772316,0.7370236337,-0.09607828656,0.7286779911,-0.0814123053,0.4163801558,-0.1082829751,0.5674527972,-0.1843618881,0.5669204545,-0.2103616228,0.4976425146,-0.2426708187,0.7913666236,-0.4851712382,0.814765997,-0.333825764,0.4621564007,-0.3499921138,0.6327269417,-0.5471214632,0.5781714424,-0.6529393023,0.6221225581,-0.6977055814,0.4314330803,-0.5328598082,0.3871795445,-0.4298349606,0.2634062992,-0.4457212598,g
0,0,0,0,0,0,1.03E-16,0.4190031153,0.4190031153,0.6118881119,0.6118881119,-1.50E-16,0,0,0,-0.3494530085,-0.9318746892,-0.9318746892,-0.5848896435,1.43E-16,3.51E-32,0,2.07E-16,-0.846740638,-0.9534883721,-0.9534883721,-0.9534883721,-0.7071514183,0.7071514183,0.7071514183,0,0,0,b
0.7653799759,0.7653799759,-0.0285486731,0.7385524372,-0.05452732644,0.735605613,-0.04625375389,0.4183243302,-0.04161119938,0.6054082168,-0.08452622378,0.5915367133,-0.1202105994,0.5279846784,-0.1390719444,0.8502051914,-0.3205648931,0.8441014122,-0.1880537182,0.526348039,-0.2029040662,0.7440648682,-0.3187385784,0.7300005062,-0.4099046512,0.7930353488,-0.4111632558,0.5758546145,-0.3011970036,0.5510053136,-0.2568847244,0.4021905512,-0.2685303937,g
0.7653799759,0.7240341496,-0.02055045235,-0.7385524372,0.1929911374,-0.2687813885,0.1493285202,0.2901931776,-0.2657611059,0.6118881119,-0.02051660839,-0.1775699301,-0.00304751462,-0.3039314035,0.08561853801,0.8565885331,-0.4311784187,0.9318746892,-0.2949247538,-0.1739169355,-0.1839711885,-0.6254365049,0.3163507698,0.7101783079,-0.4456032558,0.4977972093,-0.5542627907,0.7071514183,-0.4341414702,-0.06812696764,0.1096406299,-0.03275244094,0.224416063,b
0.7653799759,0.7513429071,0.006689420989,0.7245420975,-0.02819793205,0.7205686854,-0.02387898754,0.402020919,-0.02920870717,0.6057937063,-0.0275777972,0.5795375874,-0.06151546784,0.5173516228,-0.07086856725,0.8779843759,-0.1079390453,0.7425363899,-0.1122988115,0.5163054839,-0.1016947623,0.7303730721,-0.1586707282,0.7492553883,-0.1877323256,0.7800774419,-0.2015293023,0.555439153,-0.1687546145,0.5438772273,-0.1236582677,0.3979499213,-0.1279792126,g
0.7653799759,-1.87E-16,-4.59E-32,0.7385524372,0.3820088626,-9.36E-17,1.13E-17,0.0460526324,-0.4190031153,0,0,0,-1.36E-16,-0.5540935673,-0.1241945322,-0.5191567081,-0.7762236599,0.7169843859,0.3693402632,-9.05E-17,-2.22E-32,0.4525659362,0.3020154508,-0.7646237309,0.4274297674,0.9534883721,-0.9534883721,-0.7071514183,0.5768446264,-1.41E-16,0,0,0,b
0.7653799759,0.6439447889,-0.1405390712,0.3223338257,0.02155834564,0.6899630724,-0.001118738318,0.3685006698,0.05780147975,0.4963697552,-0.01094667832,0.541881993,0.3047015936,0.5081813743,-0.3185262281,0.6989060169,-0.2750894083,0.8077117056,-0.1175862139,0.5848896435,0.5848896435,0.3946658114,-0.1379340499,0.762625423,-0.02648790698,0.8901576744,-0.01104139535,0.4354779864,-0.2283957651,0.5972813024,-0.1376384252,0.4996822047,-0.00762992126,g
1.87E-16,0.7653799759,0.7653799759,0.7385524372,-0.7385524372,1.81E-16,0,0,0,0.6118881119,0.6118881119,0.6118881119,0.5540935673,-0.5540935673,-0.5540935673,0.9318746892,-0.9318746892,-0.9318746892,0.5848896435,-1.43E-16,-3.51E-32,0.846740638,-0.846740638,0.846740638,-0.9534883721,0.9534883721,0.9534883721,-0.7071514183,-0.7071514183,1.73E-16,0,0,0,b
0.7653799759,0.7653799759,0.7653799759,0.7385524372,0.7385524372,0.6721565731,0.4190031153,-0.1130051402,0.4190031153,-0.5087972028,0.6118881119,-0.6118881119,0.5540935673,-0.5540935673,0.4018619006,-0.9318746892,-0.5384278767,-0.9318746892,-0.2459577929,-0.5848896435,-0.5848896435,-0.4474008183,-0.846740638,0.7621851179,-0.9534883721,0.9534883721,-0.9534883721,0.7071514183,-0.7071514183,0.7071514183,-0.185720315,0.5354330709,0.1865716535,g
0.7653799759,-0.5199608866,-0.7653799759,-0.7385524372,0.7385524372,0.7385524372,0.2653002025,0.0147279595,-0.4190031153,-0.6118881119,-0.6118881119,0.6118881119,0.5540935673,0.4913867982,-0.5540935673,-0.9318746892,0.9318746892,0.7812837394,0.5848896435,0.5848896435,-0.5848896435,-0.846740638,-0.846740638,-0.1596614147,0.9534883721,0.9534883721,-0.9534883721,-0.7071514183,-0.7071514183,-0.7071514183,0.5354330709,0.5354330709,0.1799644094,b
0.7653799759,0.7321548311,0.06232489144,0.7199926145,-0.04185376662,0.7176144756,-0.0355482243,0.4026494237,-0.02749079439,0.5795620629,0.007826048951,0.5839615385,-0.09306001462,0.5242390058,-0.1080316228,0.9284267529,-0.3006973247,0.8418835505,-0.2099870798,0.5347529032,-0.159768455,0.7632520111,-0.252387982,0.84588543,-0.388517907,0.8318613953,-0.3297734884,0.6509965242,-0.2165226928,0.5936606872,-0.2091455118,0.439943937,-0.2204538583,g
0.7653799759,0.06377911339,-0.158318848,-0.7385524372,0.7385524372,-0.7385524372,0.4190031153,0.3011584891,0.1976563396,-0.5026232517,-0.3837945804,-0.6118881119,-0.5540935673,-0.5540935673,0.5540935673,-0.02565451019,0.5512225162,-0.3924403879,-0.2463145756,-0.4364914431,-0.5848896435,-0.846740638,-0.396283086,-0.846740638,0.2270255814,0.9534883721,-0.9534883721,-0.7071514183,-0.2751809029,-0.7071514183,-0.5354330709,-0.5354330709,0.3290664567,b
0.7653799759,0.7653799759,-0.01728993366,0.7385524372,-0.03319054653,0.7385524372,-0.02799778816,0.4190031153,-0.03686808411,0.6118881119,0.3437159091,0.6118881119,-0.0705804386,0.5540935673,-0.08046546784,0.9318746892,0.3019926305,0.9318746892,-0.1031686842,0.5818716129,-0.1108307385,0.8094925173,-0.1700339875,0.846740638,-0.8799172093,0.8322046512,-0.2077937209,0.5863699561,-0.1581897723,0.5549653616,-0.1218913386,0.3961776378,-0.123047874,g
-1.87E-16,-0.7653799759,0.7653799759,0.7385524372,-0.7385524372,-0.7385524372,0.4190031153,-1.03E-16,-2.51E-32,0.6118881119,0.6118881119,-0.6118881119,-0.1038925439,0.5540935673,0.5540935673,-0.9318746892,-0.9318746892,0.9318746892,-0.5848896435,-0.5848896435,-0.5848896435,0.846740638,0.846740638,0.846740638,-0.9534883721,0.9534883721,0.9534883721,0.7071514183,0.7071514183,-1.73E-16,-1.31E-16,-0.5354330709,-0.5354330709,b
0.7653799759,0.7653799759,0.0444838842,0.6981166913,0.05478581979,0.7381979321,0.05543830218,0.4190031153,-0.008007149533,0.5803513986,0.04303409091,0.5856564685,0.08114146199,0.5256242398,0.06219146199,0.8470368175,0.1874838687,0.9015048931,0.09513230051,0.5831057301,0.08339356537,0.7687050208,0.1389501387,0.7761817406,0.2138769767,0.8431030233,0.2247467442,0.6263098682,0.1591868558,0.5538692769,0.158359685,0.4474828346,0.1668730709,g
